model	arm	source_kind	lane	slot	attempt	run_dir
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T221420_thinkingmachines_inkling_a5ebbb11
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T222424_thinkingmachines_inkling_8ec92bd1
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T223337_thinkingmachines_inkling_fc04b9c9
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T224410_thinkingmachines_inkling_16b0a54b
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T225454_thinkingmachines_inkling_28553bcd
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T230434_thinkingmachines_inkling_c8000c6e
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T231518_thinkingmachines_inkling_eac4f3fb
inkling	nofiller	historical	existing-included			runs/aiwf_medium_context/20260718T232425_thinkingmachines_inkling_8351c57b
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T221956_thinkingmachines_inkling_58c64730
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T222908_thinkingmachines_inkling_a67e6dc9
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T223904_thinkingmachines_inkling_daeee3e8
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T225052_thinkingmachines_inkling_870e2d7a
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T230123_thinkingmachines_inkling_388aae8a
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T231054_thinkingmachines_inkling_eed035eb
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T232004_thinkingmachines_inkling_7d4b787b
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T233118_thinkingmachines_inkling_73b552b8
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T221939_thinkingmachines_inkling_f46cecd8
inkling	dots96	historical	existing-included			runs/aiwf_medium_context/20260718T225034_thinkingmachines_inkling_dcd5c571
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T032654_zai-org_GLM-5.2_c766c0fb
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T034436_zai-org_GLM-5.2_a1b3d776
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T040515_zai-org_GLM-5.2_7fa0becf
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T042517_zai-org_GLM-5.2_3d918489
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T044358_zai-org_GLM-5.2_1ac3112f
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T050550_zai-org_GLM-5.2_1d9be7e2
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T082027_zai-org_GLM-5.2_8f095801
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T083159_zai-org_GLM-5.2_585d5e02
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T084507_zai-org_GLM-5.2_babf4925
glm52	nofiller	historical	existing-included			runs/aiwf_medium_context/20260719T085644_zai-org_GLM-5.2_a6de8705
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T032920_zai-org_GLM-5.2_7b5ec693
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T034702_zai-org_GLM-5.2_0279b9bb
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T040732_zai-org_GLM-5.2_5c74101b
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T042743_zai-org_GLM-5.2_7c6bb2c7
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T044615_zai-org_GLM-5.2_f1751bd9
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T050753_zai-org_GLM-5.2_b601b71c
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T082245_zai-org_GLM-5.2_af4037bc
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T083434_zai-org_GLM-5.2_ec24f5df
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T084737_zai-org_GLM-5.2_63912537
glm52	dots96	historical	existing-included			runs/aiwf_medium_context/20260719T085921_zai-org_GLM-5.2_799ba907
gpt54	dots96	topup	openai-a	openai-a-001	1	runs/aiwf_medium_context/20260720T210727_gpt-5.4_3173b262
gpt55	nofiller	topup	openai-a	openai-a-002	1	runs/aiwf_medium_context/20260720T211131_gpt-5.5_e5908691
gpt54	nofiller	topup	openai-a	openai-a-003	1	runs/aiwf_medium_context/20260720T211805_gpt-5.4_8297f15f
gpt55	dots96	topup	openai-a	openai-a-004	1	runs/aiwf_medium_context/20260720T212415_gpt-5.5_3be8802a
gpt54	dots96	topup	openai-a	openai-a-005	1	runs/aiwf_medium_context/20260720T212800_gpt-5.4_bd62e56b
gpt55	nofiller	topup	openai-a	openai-a-006	1	runs/aiwf_medium_context/20260720T213404_gpt-5.5_2df281f5
gpt54	dots96	topup	openai-a	openai-a-007	1	runs/aiwf_medium_context/20260720T214151_gpt-5.4_7815d302
gpt55	dots96	topup	openai-a	openai-a-008	1	runs/aiwf_medium_context/20260720T214744_gpt-5.5_c2d2f317
gpt54	nofiller	topup	openai-a	openai-a-009	1	runs/aiwf_medium_context/20260720T215305_gpt-5.4_128b5524
gpt55	dots96	topup	openai-a	openai-a-010	1	runs/aiwf_medium_context/20260720T220017_gpt-5.5_73f53e25
gpt54	dots96	topup	openai-a	openai-a-011	1	runs/aiwf_medium_context/20260720T220819_gpt-5.4_66db950d
gpt55	nofiller	topup	openai-a	openai-a-012	1	runs/aiwf_medium_context/20260720T221638_gpt-5.5_5cbd860a
gpt54	nofiller	topup	openai-a	openai-a-013	1	runs/aiwf_medium_context/20260720T222322_gpt-5.4_9ac8ad74
gpt55	nofiller	topup	openai-a	openai-a-014	1	runs/aiwf_medium_context/20260720T223035_gpt-5.5_354892da
gpt54	nofiller	topup	openai-a	openai-a-015	1	runs/aiwf_medium_context/20260720T223754_gpt-5.4_dae2ccf4
gpt55	nofiller	topup	openai-a	openai-a-016	1	runs/aiwf_medium_context/20260720T224449_gpt-5.5_73e8f0bd
gpt54	nofiller	topup	openai-a	openai-a-017	1	runs/aiwf_medium_context/20260720T225300_gpt-5.4_64cc1799
gpt55	dots96	topup	openai-a	openai-a-018	1	runs/aiwf_medium_context/20260720T225851_gpt-5.5_9ad9c4e1
gpt54	dots96	topup	openai-a	openai-a-019	1	runs/aiwf_medium_context/20260720T230631_gpt-5.4_23b53627
gpt55	dots96	topup	openai-a	openai-a-020	1	runs/aiwf_medium_context/20260720T231325_gpt-5.5_d27f1280
gpt54	dots96	topup	openai-a	openai-a-021	1	runs/aiwf_medium_context/20260720T232046_gpt-5.4_a571e56d
gpt55	nofiller	topup	openai-a	openai-a-022	1	runs/aiwf_medium_context/20260720T232853_gpt-5.5_bcca88b7
gpt54	dots96	topup	openai-a	openai-a-023	1	runs/aiwf_medium_context/20260720T233440_gpt-5.4_2f09dfd8
gpt55	dots96	topup	openai-a	openai-a-024	1	runs/aiwf_medium_context/20260720T234447_gpt-5.5_9bb31e85
gpt54	nofiller	topup	openai-a	openai-a-025	1	runs/aiwf_medium_context/20260720T235143_gpt-5.4_581bd746
gpt55	nofiller	topup	openai-a	openai-a-026	1	runs/aiwf_medium_context/20260720T235920_gpt-5.5_144642c9
gpt54	nofiller	topup	openai-a	openai-a-027	1	runs/aiwf_medium_context/20260721T000644_gpt-5.4_72af7487
gpt55	nofiller	topup	openai-a	openai-a-028	1	runs/aiwf_medium_context/20260721T001306_gpt-5.5_de4a3c0f
gpt54	nofiller	topup	openai-a	openai-a-029	1	runs/aiwf_medium_context/20260721T001942_gpt-5.4_70e3fbb6
gpt55	dots96	topup	openai-a	openai-a-030	1	runs/aiwf_medium_context/20260721T002516_gpt-5.5_0fddf4ad
gpt54	dots96	topup	openai-a	openai-a-031	1	runs/aiwf_medium_context/20260721T003216_gpt-5.4_a6da2b19
gpt55	nofiller	topup	openai-a	openai-a-032	1	runs/aiwf_medium_context/20260721T003907_gpt-5.5_00775cf8
gpt54	nofiller	topup	openai-a	openai-a-033	1	runs/aiwf_medium_context/20260721T004527_gpt-5.4_7fa3e2a7
gpt55	nofiller	topup	openai-a	openai-a-034	1	runs/aiwf_medium_context/20260721T005142_gpt-5.5_716891da
gpt54	dots96	topup	openai-a	openai-a-035	1	runs/aiwf_medium_context/20260721T005559_gpt-5.4_766b3a6c
gpt55	nofiller	topup	openai-a	openai-a-036	1	runs/aiwf_medium_context/20260721T010056_gpt-5.5_efb12cc7
gpt54	nofiller	topup	openai-a	openai-a-037	1	runs/aiwf_medium_context/20260721T010724_gpt-5.4_1770d019
gpt55	dots96	topup	openai-a	openai-a-038	1	runs/aiwf_medium_context/20260721T011348_gpt-5.5_56998ed4
gpt54	dots96	topup	openai-a	openai-a-039	1	runs/aiwf_medium_context/20260721T011809_gpt-5.4_90c4adfe
gpt55	dots96	topup	openai-a	openai-a-040	1	runs/aiwf_medium_context/20260721T012331_gpt-5.5_9b7e0e34
gpt54	nofiller	topup	openai-a	openai-a-041	1	runs/aiwf_medium_context/20260721T012855_gpt-5.4_55d3e9ad
gpt55	nofiller	topup	openai-a	openai-a-042	1	runs/aiwf_medium_context/20260721T013226_gpt-5.5_caf50fbc
gpt54	nofiller	topup	openai-a	openai-a-043	1	runs/aiwf_medium_context/20260721T013746_gpt-5.4_dde72f5d
gpt55	nofiller	topup	openai-a	openai-a-044	1	runs/aiwf_medium_context/20260721T014253_gpt-5.5_a306ca77
gpt54	dots96	topup	openai-a	openai-a-045	1	runs/aiwf_medium_context/20260721T014800_gpt-5.4_2d68989b
gpt55	nofiller	topup	openai-a	openai-a-046	1	runs/aiwf_medium_context/20260721T015232_gpt-5.5_e69ec1d5
gpt54	dots96	topup	openai-a	openai-a-047	1	runs/aiwf_medium_context/20260721T015748_gpt-5.4_34fa2a65
gpt55	dots96	topup	openai-a	openai-a-048	1	runs/aiwf_medium_context/20260721T020427_gpt-5.5_dc71b18d
gpt54	nofiller	topup	openai-a	openai-a-049	1	runs/aiwf_medium_context/20260721T020926_gpt-5.4_db3730ba
gpt55	nofiller	topup	openai-a	openai-a-050	1	runs/aiwf_medium_context/20260721T021326_gpt-5.5_fcff9c8b
gpt54	dots96	topup	openai-a	openai-a-051	1	runs/aiwf_medium_context/20260721T021936_gpt-5.4_a63eab10
gpt55	dots96	topup	openai-a	openai-a-052	1	runs/aiwf_medium_context/20260721T022430_gpt-5.5_b8ae6a27
gpt54	nofiller	topup	openai-a	openai-a-053	1	runs/aiwf_medium_context/20260721T022848_gpt-5.4_9651d6df
gpt55	nofiller	topup	openai-a	openai-a-054	1	runs/aiwf_medium_context/20260721T023155_gpt-5.5_29ac60f6
gpt54	nofiller	topup	openai-a	openai-a-055	1	runs/aiwf_medium_context/20260721T023643_gpt-5.4_0aadb42d
gpt55	dots96	topup	openai-a	openai-a-056	1	runs/aiwf_medium_context/20260721T024024_gpt-5.5_2f671964
gpt54	dots96	topup	openai-a	openai-a-057	1	runs/aiwf_medium_context/20260721T024240_gpt-5.4_147a6ca0
