campaign_level	macro_block	arm	half	snapshot_id	seed_start	seed_stop
8192	1	fp8	first	turn15-baseten_bf16-04	256	384
8192	1	fp8	first	turn15-local_fp8-01	256	384
8192	1	fp8	first	turn15-local_fp8-02	256	384
8192	1	fp8	first	turn15-local_fp8-03	256	384
8192	1	fp8	first	turn15-local_fp8-04	256	384
8192	1	fp8	first	turn15-local_bf16-01	256	384
8192	1	fp8	first	turn15-local_bf16-02	256	384
8192	1	fp8	first	turn15-local_bf16-03	256	384
8192	1	fp8	first	turn15-local_bf16-04	256	384
8192	2	bf16	first	turn12-golden	1024	1536
8192	2	bf16	first	turn12-baseten_bf16-01	256	384
8192	2	bf16	first	turn12-baseten_bf16-02	256	384
8192	2	bf16	first	turn12-baseten_bf16-03	256	384
8192	2	bf16	first	turn12-baseten_bf16-04	256	384
8192	2	bf16	first	turn12-local_fp8-01	256	384
8192	2	bf16	first	turn12-local_fp8-02	256	384
8192	2	bf16	first	turn12-local_fp8-03	256	384
8192	2	bf16	first	turn12-local_fp8-04	256	384
8192	2	bf16	first	turn12-local_bf16-01	256	384
8192	2	bf16	first	turn12-local_bf16-02	256	384
8192	2	bf16	first	turn12-local_bf16-03	256	384
8192	2	bf16	first	turn12-local_bf16-04	256	384
8192	2	bf16	first	turn15-golden	1024	1536
8192	2	bf16	first	turn15-baseten_bf16-01	256	384
8192	2	bf16	first	turn15-baseten_bf16-02	256	384
8192	2	bf16	first	turn15-baseten_bf16-03	256	384
8192	2	bf16	first	turn15-baseten_bf16-04	256	384
8192	2	bf16	first	turn15-local_fp8-01	256	384
8192	2	bf16	first	turn15-local_fp8-02	256	384
8192	2	bf16	first	turn15-local_fp8-03	256	384
8192	2	bf16	first	turn15-local_fp8-04	256	384
8192	2	bf16	first	turn15-local_bf16-01	256	384
8192	2	bf16	first	turn15-local_bf16-02	256	384
8192	2	bf16	first	turn15-local_bf16-03	256	384
8192	2	bf16	first	turn15-local_bf16-04	256	384
8192	3	bf16	second	turn12-golden	1536	2048
8192	3	bf16	second	turn12-baseten_bf16-01	384	512
8192	3	bf16	second	turn12-baseten_bf16-02	384	512
8192	3	bf16	second	turn12-baseten_bf16-03	384	512
8192	3	bf16	second	turn12-baseten_bf16-04	384	512
8192	3	bf16	second	turn12-local_fp8-01	384	512
8192	3	bf16	second	turn12-local_fp8-02	384	512
8192	3	bf16	second	turn12-local_fp8-03	384	512
8192	3	bf16	second	turn12-local_fp8-04	384	512
