model	arm	run_dir	transcript_rows	end_session_turn	classification	judged	provenance	source
sol	dots96	runs/aiwf_medium_context/20260719T085931_gpt-5.6-sol_b061c0cf	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T091343_gpt-5.6-sol_e9a3f512	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T092940_gpt-5.6-sol_8692bfc4	31	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T094426_gpt-5.6-sol_af6c39f5	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T095904_gpt-5.6-sol_ef65ce20	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T101240_gpt-5.6-sol_991b3a84	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T124945_gpt-5.6-sol_203fd126	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T125142_gpt-5.6-sol_30762bd9	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T125408_gpt-5.6-sol_193106f3	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
sol	dots96	runs/aiwf_medium_context/20260719T125634_gpt-5.6-sol_4528e7db	30	29	strict_complete	1	runtime-signature	docs/filler-study-data/expand_oai_ant_manifest.tsv
gemma431	nofiller	runs/aiwf_medium_context/20260615T203631_lilac_gemma-4-31b-it_092aff24	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T203844_lilac_gemma-4-31b-it_efe7dda2	32	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T204051_lilac_gemma-4-31b-it_3e0233b4	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T204241_lilac_gemma-4-31b-it_b880d213	30	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
gemma431	nofiller	runs/aiwf_medium_context/20260615T204433_lilac_gemma-4-31b-it_6026bf9d	31	29	strict_complete	1	runtime-signature	docs/ten-run-allowlists/lilac-gemma-4-31b-it-off-2026-06-15.txt
