slot	arm	attempt	started_at	finished_at	exit_code	run_dir	response_turns	classification	log
48	none	1	2026-08-07T10:34:18+00:00	2026-08-07T10:35:03+00:00	unknown	runs/aiwf_medium_context/20260807T103418Z_google_gemma-4-31B-it_none_slot048_attempt01_8e4d0e22	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot048-none-attempt01.log
49	none	1	2026-08-07T10:35:03+00:00	2026-08-07T10:35:47+00:00	unknown	runs/aiwf_medium_context/20260807T103503Z_google_gemma-4-31B-it_none_slot049_attempt01_2c0d0cb4	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot049-none-attempt01.log
50	none	1	2026-08-07T10:35:47+00:00	2026-08-07T10:36:31+00:00	unknown	runs/aiwf_medium_context/20260807T103547Z_google_gemma-4-31B-it_none_slot050_attempt01_0cc7bb2d	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot050-none-attempt01.log
51	none	1	2026-08-07T10:36:31+00:00	2026-08-07T10:37:15+00:00	unknown	runs/aiwf_medium_context/20260807T103631Z_google_gemma-4-31B-it_none_slot051_attempt01_aeecf99e	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot051-none-attempt01.log
52	none	1	2026-08-07T10:37:15+00:00	2026-08-07T10:37:58+00:00	unknown	runs/aiwf_medium_context/20260807T103715Z_google_gemma-4-31B-it_none_slot052_attempt01_d9741af6	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot052-none-attempt01.log
53	none	1	2026-08-07T10:37:58+00:00	2026-08-07T10:38:42+00:00	unknown	runs/aiwf_medium_context/20260807T103758Z_google_gemma-4-31B-it_none_slot053_attempt01_3480673a	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot053-none-attempt01.log
54	none	1	2026-08-07T10:38:42+00:00	2026-08-07T10:39:25+00:00	unknown	runs/aiwf_medium_context/20260807T103842Z_google_gemma-4-31B-it_none_slot054_attempt01_0d556d3d	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot054-none-attempt01.log
55	none	1	2026-08-07T10:39:25+00:00	2026-08-07T10:40:08+00:00	unknown	runs/aiwf_medium_context/20260807T103925Z_google_gemma-4-31B-it_none_slot055_attempt01_e70c8bdc	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot055-none-attempt01.log
56	none	1	2026-08-07T10:40:08+00:00	2026-08-07T10:40:53+00:00	unknown	runs/aiwf_medium_context/20260807T104008Z_google_gemma-4-31B-it_none_slot056_attempt01_b8caa066	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot056-none-attempt01.log
57	none	1	2026-08-07T10:40:53+00:00	2026-08-07T10:41:37+00:00	unknown	runs/aiwf_medium_context/20260807T104053Z_google_gemma-4-31B-it_none_slot057_attempt01_25ab3c91	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot057-none-attempt01.log
58	none	1	2026-08-07T10:41:37+00:00	2026-08-07T10:42:17+00:00	unknown	runs/aiwf_medium_context/20260807T104137Z_google_gemma-4-31B-it_none_slot058_attempt01_6563dbb5	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot058-none-attempt01.log
59	none	1	2026-08-07T10:42:17+00:00	2026-08-07T10:43:01+00:00	unknown	runs/aiwf_medium_context/20260807T104217Z_google_gemma-4-31B-it_none_slot059_attempt01_f1e36ed7	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot059-none-attempt01.log
60	none	1	2026-08-07T10:43:01+00:00	2026-08-07T10:43:45+00:00	unknown	runs/aiwf_medium_context/20260807T104301Z_google_gemma-4-31B-it_none_slot060_attempt01_aa413f99	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot060-none-attempt01.log
61	none	1	2026-08-07T10:43:45+00:00	2026-08-07T10:44:30+00:00	unknown	runs/aiwf_medium_context/20260807T104345Z_google_gemma-4-31B-it_none_slot061_attempt01_cef7864b	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot061-none-attempt01.log
62	none	1	2026-08-07T10:44:31+00:00	2026-08-07T10:45:16+00:00	unknown	runs/aiwf_medium_context/20260807T104431Z_google_gemma-4-31B-it_none_slot062_attempt01_141ce9ed	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot062-none-attempt01.log
63	none	1	2026-08-07T10:45:16+00:00	2026-08-07T10:46:01+00:00	unknown	runs/aiwf_medium_context/20260807T104516Z_google_gemma-4-31B-it_none_slot063_attempt01_c813a2a5	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot063-none-attempt01.log
64	none	1	2026-08-07T10:46:01+00:00	2026-08-07T10:46:43+00:00	unknown	runs/aiwf_medium_context/20260807T104601Z_google_gemma-4-31B-it_none_slot064_attempt01_56f31998	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot064-none-attempt01.log
65	none	1	2026-08-07T10:46:43+00:00	2026-08-07T10:47:25+00:00	unknown	runs/aiwf_medium_context/20260807T104643Z_google_gemma-4-31B-it_none_slot065_attempt01_40f7a0da	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot065-none-attempt01.log
66	none	1	2026-08-07T10:47:25+00:00	2026-08-07T10:48:10+00:00	unknown	runs/aiwf_medium_context/20260807T104725Z_google_gemma-4-31B-it_none_slot066_attempt01_e760e078	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot066-none-attempt01.log
67	none	1	2026-08-07T10:48:10+00:00	2026-08-07T10:48:54+00:00	unknown	runs/aiwf_medium_context/20260807T104810Z_google_gemma-4-31B-it_none_slot067_attempt01_4425d2e7	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot067-none-attempt01.log
68	none	1	2026-08-07T10:48:54+00:00	2026-08-07T10:49:37+00:00	unknown	runs/aiwf_medium_context/20260807T104854Z_google_gemma-4-31B-it_none_slot068_attempt01_f5169046	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot068-none-attempt01.log
69	none	1	2026-08-07T10:49:37+00:00	2026-08-07T10:50:19+00:00	unknown	runs/aiwf_medium_context/20260807T104937Z_google_gemma-4-31B-it_none_slot069_attempt01_2b9a60d0	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot069-none-attempt01.log
70	none	1	2026-08-07T10:50:19+00:00	2026-08-07T10:51:03+00:00	unknown	runs/aiwf_medium_context/20260807T105019Z_google_gemma-4-31B-it_none_slot070_attempt01_b80172aa	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot070-none-attempt01.log
71	none	1	2026-08-07T10:51:03+00:00	2026-08-07T10:51:46+00:00	unknown	runs/aiwf_medium_context/20260807T105103Z_google_gemma-4-31B-it_none_slot071_attempt01_b8536573	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot071-none-attempt01.log
72	none	1	2026-08-07T10:51:46+00:00	2026-08-07T10:52:33+00:00	unknown	runs/aiwf_medium_context/20260807T105146Z_google_gemma-4-31B-it_none_slot072_attempt01_a2c4623c	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot072-none-attempt01.log
73	none	1	2026-08-07T10:52:33+00:00	2026-08-07T10:53:17+00:00	unknown	runs/aiwf_medium_context/20260807T105233Z_google_gemma-4-31B-it_none_slot073_attempt01_ea8feb13	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot073-none-attempt01.log
74	none	1	2026-08-07T10:53:18+00:00	2026-08-07T10:54:02+00:00	unknown	runs/aiwf_medium_context/20260807T105318Z_google_gemma-4-31B-it_none_slot074_attempt01_30cf69c7	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot074-none-attempt01.log
75	none	1	2026-08-07T10:54:02+00:00	2026-08-07T10:54:46+00:00	unknown	runs/aiwf_medium_context/20260807T105402Z_google_gemma-4-31B-it_none_slot075_attempt01_9c3515ef	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot075-none-attempt01.log
76	none	1	2026-08-07T10:54:46+00:00	2026-08-07T10:55:28+00:00	unknown	runs/aiwf_medium_context/20260807T105446Z_google_gemma-4-31B-it_none_slot076_attempt01_b67dede8	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot076-none-attempt01.log
77	none	1	2026-08-07T10:55:28+00:00	2026-08-07T10:56:13+00:00	unknown	runs/aiwf_medium_context/20260807T105528Z_google_gemma-4-31B-it_none_slot077_attempt01_81373dfb	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot077-none-attempt01.log
78	none	1	2026-08-07T10:56:13+00:00	2026-08-07T10:56:58+00:00	unknown	runs/aiwf_medium_context/20260807T105613Z_google_gemma-4-31B-it_none_slot078_attempt01_3c3b2c7f	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot078-none-attempt01.log
79	none	1	2026-08-07T10:56:58+00:00	2026-08-07T10:57:43+00:00	unknown	runs/aiwf_medium_context/20260807T105658Z_google_gemma-4-31B-it_none_slot079_attempt01_05110020	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot079-none-attempt01.log
80	none	1	2026-08-07T10:57:43+00:00	2026-08-07T10:58:26+00:00	unknown	runs/aiwf_medium_context/20260807T105743Z_google_gemma-4-31B-it_none_slot080_attempt01_2296aec9	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot080-none-attempt01.log
81	none	1	2026-08-07T10:58:26+00:00	2026-08-07T10:59:11+00:00	unknown	runs/aiwf_medium_context/20260807T105826Z_google_gemma-4-31B-it_none_slot081_attempt01_ea59dd57	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot081-none-attempt01.log
82	none	1	2026-08-07T10:59:11+00:00	2026-08-07T10:59:55+00:00	unknown	runs/aiwf_medium_context/20260807T105911Z_google_gemma-4-31B-it_none_slot082_attempt01_4f13e96a	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot082-none-attempt01.log
83	none	1	2026-08-07T10:59:55+00:00	2026-08-07T11:00:41+00:00	unknown	runs/aiwf_medium_context/20260807T105955Z_google_gemma-4-31B-it_none_slot083_attempt01_6d35138e	30	complete_30	ops/local-gemma4-31b-nvfp4-sglang/aiewf-medium-fp8kv-n120-extension-20260807/logs/slot083-none-attempt01.log
