ordinal	block	position	arm	arm_index	attempt	run_dir	run_rc	records	scripted_turns	request_verified	status	started_utc	finished_utc
93	24	1	xhigh	24	1	runs/aiwf_medium_context/20260811T073851_muse-glimmer-30b_b3c56d04	0	34	30	1	included	2026-08-11T14:38:49Z	2026-08-11T14:39:59Z
94	24	2	low	24	1	runs/aiwf_medium_context/20260811T074000_muse-glimmer-30b_84f4a51c	0	35	30	1	included	2026-08-11T14:39:59Z	2026-08-11T14:40:40Z
95	24	3	high	24	1	runs/aiwf_medium_context/20260811T074041_muse-glimmer-30b_1bc14c10	0	36	30	1	included	2026-08-11T14:40:40Z	2026-08-11T14:41:34Z
96	24	4	medium	24	1	runs/aiwf_medium_context/20260811T074136_muse-glimmer-30b_a61f3c04	0	34	30	1	included	2026-08-11T14:41:34Z	2026-08-11T14:42:33Z
97	25	1	low	25	1	runs/aiwf_medium_context/20260811T074234_muse-glimmer-30b_2e016f12	0	34	30	1	included	2026-08-11T14:42:33Z	2026-08-11T14:43:15Z
98	25	2	medium	25	1	runs/aiwf_medium_context/20260811T074317_muse-glimmer-30b_20c11e52	0	34	30	1	included	2026-08-11T14:43:15Z	2026-08-11T14:44:12Z
99	25	3	xhigh	25	1	runs/aiwf_medium_context/20260811T074414_muse-glimmer-30b_b673b4c9	0	35	30	1	included	2026-08-11T14:44:12Z	2026-08-11T14:45:23Z
100	25	4	high	25	1	runs/aiwf_medium_context/20260811T074524_muse-glimmer-30b_79a58755	0	35	30	1	included	2026-08-11T14:45:23Z	2026-08-11T14:46:34Z
101	26	1	medium	26	1	runs/aiwf_medium_context/20260811T074636_muse-glimmer-30b_47c75299	0	34	30	1	included	2026-08-11T14:46:34Z	2026-08-11T14:47:33Z
102	26	2	high	26	1	runs/aiwf_medium_context/20260811T074734_muse-glimmer-30b_11116584	0	34	30	1	included	2026-08-11T14:47:33Z	2026-08-11T14:48:21Z
103	26	3	low	26	1	runs/aiwf_medium_context/20260811T074823_muse-glimmer-30b_bb7cf854	0	34	30	1	included	2026-08-11T14:48:21Z	2026-08-11T14:49:14Z
104	26	4	xhigh	26	1	runs/aiwf_medium_context/20260811T074916_muse-glimmer-30b_7cee964e	0	36	30	1	included	2026-08-11T14:49:14Z	2026-08-11T14:50:16Z
105	27	1	high	27	1	runs/aiwf_medium_context/20260811T075018_muse-glimmer-30b_a847cacc	0	34	30	1	included	2026-08-11T14:50:16Z	2026-08-11T14:51:03Z
106	27	2	xhigh	27	1	runs/aiwf_medium_context/20260811T075105_muse-glimmer-30b_67d25bdb	0	34	30	1	included	2026-08-11T14:51:03Z	2026-08-11T14:51:59Z
107	27	3	medium	27	1	runs/aiwf_medium_context/20260811T075200_muse-glimmer-30b_ec199d61	0	33	30	1	included	2026-08-11T14:51:59Z	2026-08-11T14:52:52Z
108	27	4	low	27	1	runs/aiwf_medium_context/20260811T075254_muse-glimmer-30b_b8ec2300	0	34	30	1	included	2026-08-11T14:52:52Z	2026-08-11T14:53:34Z
109	28	1	xhigh	28	1	runs/aiwf_medium_context/20260811T075335_muse-glimmer-30b_deec2fe2	0	34	30	1	included	2026-08-11T14:53:34Z	2026-08-11T14:54:53Z
110	28	2	low	28	1	runs/aiwf_medium_context/20260811T075455_muse-glimmer-30b_3be7b555	0	35	30	1	included	2026-08-11T14:54:53Z	2026-08-11T14:55:37Z
111	28	3	high	28	1	runs/aiwf_medium_context/20260811T075539_muse-glimmer-30b_ed160f7b	0	33	30	1	included	2026-08-11T14:55:37Z	2026-08-11T14:56:36Z
112	28	4	medium	28	1	runs/aiwf_medium_context/20260811T075638_muse-glimmer-30b_8e4cea0e	0	35	30	1	included	2026-08-11T14:56:36Z	2026-08-11T14:57:38Z
113	29	1	low	29	1	runs/aiwf_medium_context/20260811T075739_muse-glimmer-30b_f67cc8f1	0	34	30	1	included	2026-08-11T14:57:38Z	2026-08-11T14:58:18Z
114	29	2	medium	29	1	runs/aiwf_medium_context/20260811T075819_muse-glimmer-30b_5428fdfc	0	34	30	1	included	2026-08-11T14:58:18Z	2026-08-11T14:59:10Z
115	29	3	xhigh	29	1	runs/aiwf_medium_context/20260811T075911_muse-glimmer-30b_53f42ea2	0	35	30	1	included	2026-08-11T14:59:10Z	2026-08-11T15:00:14Z
116	29	4	high	29	1	runs/aiwf_medium_context/20260811T080016_muse-glimmer-30b_e835345d	0	34	30	1	included	2026-08-11T15:00:14Z	2026-08-11T15:01:26Z
117	30	1	medium	30	1	runs/aiwf_medium_context/20260811T080127_muse-glimmer-30b_9965b7db	0	34	30	1	included	2026-08-11T15:01:26Z	2026-08-11T15:02:34Z
118	30	2	high	30	1	runs/aiwf_medium_context/20260811T080236_muse-glimmer-30b_2435fffc	0	35	30	1	included	2026-08-11T15:02:34Z	2026-08-11T15:03:47Z
119	30	3	low	30	1	runs/aiwf_medium_context/20260811T080349_muse-glimmer-30b_8ae62108	0	34	30	1	included	2026-08-11T15:03:47Z	2026-08-11T15:04:26Z
120	30	4	xhigh	30	1	runs/aiwf_medium_context/20260811T080428_muse-glimmer-30b_d94030b0	0	34	30	1	included	2026-08-11T15:04:26Z	2026-08-11T15:05:28Z
