ordinal	arm	arm_index	run_dir	judge_rc	strict_pass	turns_scored	started_utc	finished_utc
42	xhigh	11	runs/aiwf_medium_context/20260811T065031_muse-glimmer-30b_a3ff155c	0	26	30	2026-08-11T15:24:39Z	2026-08-11T15:26:22Z
43	medium	11	runs/aiwf_medium_context/20260811T065124_muse-glimmer-30b_8d4284f9	0	25	30	2026-08-11T15:25:13Z	2026-08-11T15:26:53Z
44	low	11	runs/aiwf_medium_context/20260811T065211_muse-glimmer-30b_2f818568	0	26	30	2026-08-11T15:25:14Z	2026-08-11T15:26:28Z
45	xhigh	12	runs/aiwf_medium_context/20260811T065250_muse-glimmer-30b_e879ac3d	0	26	30	2026-08-11T15:25:19Z	2026-08-11T15:26:39Z
46	low	12	runs/aiwf_medium_context/20260811T065407_muse-glimmer-30b_368f3e59	0	26	30	2026-08-11T15:26:22Z	2026-08-11T15:27:35Z
47	high	12	runs/aiwf_medium_context/20260811T065447_muse-glimmer-30b_8b795ff9	0	26	30	2026-08-11T15:26:28Z	2026-08-11T15:27:51Z
48	medium	12	runs/aiwf_medium_context/20260811T065557_muse-glimmer-30b_bacb4557	0	26	30	2026-08-11T15:26:39Z	2026-08-11T15:27:52Z
49	low	13	runs/aiwf_medium_context/20260811T065655_muse-glimmer-30b_836bdeb1	0	25	30	2026-08-11T15:26:53Z	2026-08-11T15:28:18Z
50	medium	13	runs/aiwf_medium_context/20260811T065735_muse-glimmer-30b_fa96df8d	0	26	30	2026-08-11T15:27:35Z	2026-08-11T15:28:38Z
51	xhigh	13	runs/aiwf_medium_context/20260811T065828_muse-glimmer-30b_1e95e838	0	23	30	2026-08-11T15:27:51Z	2026-08-11T15:29:16Z
52	high	13	runs/aiwf_medium_context/20260811T065932_muse-glimmer-30b_73eba89a	0	23	30	2026-08-11T15:27:52Z	2026-08-11T15:29:12Z
53	medium	14	runs/aiwf_medium_context/20260811T070047_muse-glimmer-30b_1eec06ff	0	26	30	2026-08-11T15:28:18Z	2026-08-11T15:29:48Z
54	high	14	runs/aiwf_medium_context/20260811T070142_muse-glimmer-30b_61302b88	0	26	30	2026-08-11T15:28:38Z	2026-08-11T15:29:54Z
55	low	14	runs/aiwf_medium_context/20260811T070302_muse-glimmer-30b_ab5a71c1	0	25	30	2026-08-11T15:29:12Z	2026-08-11T15:30:23Z
56	xhigh	14	runs/aiwf_medium_context/20260811T070343_muse-glimmer-30b_8121b541	0	26	30	2026-08-11T15:29:16Z	2026-08-11T15:30:37Z
